Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],average
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,9.21094337767069,9.4934592153681,9.79573672952573,10.1149534088953,10.4508273301699,10.8020480416984,11.1650980584991,11.5399339447135,11.9252878650046,12.3199132921922,12.7268548340832,13.1452757357461,13.5345208533097,13.9355616748211,14.3844925790246,14.8443332595743,15.3255689687672,15.8265147231169,16.3370442308165,16.8559191601308,17.3940451896836,17.952108278219,16.1150032986666
Mali,MLI,Surface area (sq. km),AG.SRF.TOTL.K2,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190
New Zealand,NZL,"Population, total",SP.POP.TOTL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,4907520
New Zealand,NZL,Population density (people per sq. km of land area),EN.POP.DNST,14.6507918423151,14.7373817933235,14.9956325244009,15.2945197675743,15.5235274011621,15.6997455470738,15.8922942539212,16.0411682047776,16.1778891800539,16.340435228438,16.5231096426266,16.6495765447571,16.7411036420949,16.8702290076336,17.1527856898713,17.5056017621815,17.9032319319433,18.2811135163875,18.6115225399719,18.9100300026585,19.3315863430937,19.4117200258251,18.3884489764916
New Zealand,NZL,Surface area (sq. km),AG.SRF.TOTL.K2,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710
Pakistan,PAK,"Population, total",SP.POP.TOTL,154369924,159217727,163262807,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,222705955.8
Pakistan,PAK,Population density (people per sq. km of land area),EN.POP.DNST,200.251561851391,206.540222862183,211.787576535907,216.475560398506,221.368591739311,226.198757264425,230.995724366957,235.995902085928,241.1944206621,246.631410855127,252.250023349938,257.631198111249,262.305236872146,266.367738169365,270.147919261104,273.673331776671,276.988428808634,280.691748391449,285.039797374429,289.660232461602,294.723875311333,300.179167963885,283.888062668638
Pakistan,PAK,Surface area (sq. km),AG.SRF.TOTL.K2,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100
Peru,PER,"Population, total",SP.POP.TOTL,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,32425541.8
Peru,PER,Population density (people per sq. km of land area),EN.POP.DNST,20.82378046875,21.10539765625,21.35508046875,21.58073515625,21.79211796875,21.99005234375,22.1727171875,22.34405234375,22.50483203125,22.6635359375,22.835603125,23.02946953125,23.24186640625,23.46781953125,23.71402421875,23.99364296875,24.32248359375,24.6917859375,25.15933125,25.64442265625,26.019340625,26.34021171875,24.9856553710937
